ts,event,extra
2025-10-08T13:35:54.4848387+00:00,SCENARIO_START,large_simul_same_ts
2025-10-08T13:35:54.4851902+00:00,PARAMS,points=2000000;ts_span=0;pc=4;series_mult=50
2025-10-08T13:35:54.4951112+00:00,THREAD_0_START,500000
2025-10-08T13:35:54.4952372+00:00,THREAD_1_START,500000
2025-10-08T13:35:54.4953227+00:00,THREAD_2_START,500000
2025-10-08T13:35:54.4953982+00:00,THREAD_3_START,500000
2025-10-08T13:35:56.7645023+00:00,THREAD_3_END,SUCCESS
2025-10-08T13:35:57.4551565+00:00,THREAD_1_END,SUCCESS
2025-10-08T13:35:58.1243980+00:00,THREAD_2_END,SUCCESS
2025-10-08T13:35:58.6760350+00:00,THREAD_0_END,SUCCESS
2025-10-08T13:35:58.6856920+00:00,SCENARIO_END,SUCCESS
