ts,event,extra
2025-10-08T08:10:08.8125694+00:00,SCENARIO_START,large_simul_same_ts
2025-10-08T08:10:08.8130743+00:00,PARAMS,points=200000;ts_span=0;pc=4;series_mult=50
2025-10-08T08:10:08.8186929+00:00,THREAD_0_START,50000
2025-10-08T08:10:08.8188516+00:00,THREAD_1_START,50000
2025-10-08T08:10:08.8189591+00:00,THREAD_2_START,50000
2025-10-08T08:10:08.8190477+00:00,THREAD_3_START,50000
2025-10-08T08:10:09.1364340+00:00,THREAD_0_END,SUCCESS
2025-10-08T08:10:09.1528010+00:00,THREAD_1_END,SUCCESS
2025-10-08T08:10:09.2258336+00:00,THREAD_2_END,SUCCESS
2025-10-08T08:10:09.2820245+00:00,THREAD_3_END,SUCCESS
2025-10-08T08:10:09.2875692+00:00,SCENARIO_END,SUCCESS
