ts,event,extra
2025-10-07T20:01:06.4311414+00:00,SCENARIO_START,large_simul_same_ts
2025-10-07T20:01:06.4316152+00:00,PARAMS,points=10000000;ts_span=0;pc=16;series_mult=50
2025-10-07T20:01:06.4369793+00:00,THREAD_0_START,625000
2025-10-07T20:01:06.4371243+00:00,THREAD_1_START,625000
2025-10-07T20:01:06.4372658+00:00,THREAD_2_START,625000
2025-10-07T20:01:06.4373787+00:00,THREAD_3_START,625000
2025-10-07T20:01:06.4374768+00:00,THREAD_4_START,625000
2025-10-07T20:01:06.4375920+00:00,THREAD_5_START,625000
2025-10-07T20:01:06.4376918+00:00,THREAD_6_START,625000
2025-10-07T20:01:06.4377887+00:00,THREAD_7_START,625000
2025-10-07T20:01:06.4378828+00:00,THREAD_8_START,625000
2025-10-07T20:01:06.4379871+00:00,THREAD_9_START,625000
2025-10-07T20:01:06.4380902+00:00,THREAD_10_START,625000
2025-10-07T20:01:06.4381915+00:00,THREAD_11_START,625000
2025-10-07T20:01:06.4382854+00:00,THREAD_12_START,625000
2025-10-07T20:01:06.4383794+00:00,THREAD_13_START,625000
2025-10-07T20:01:06.4384682+00:00,THREAD_14_START,625000
2025-10-07T20:01:06.4385877+00:00,THREAD_15_START,625000
