points_per_request,chunk_size_bytes,parallel_clients,points,elapsed_s,writes_per_s,errors,status
4,131072,2,2000,4.9,408.41,0,ok
4,131072,4,2000,4.31,463.65,0,ok
4,524288,2,2000,4.96,403.12,0,ok
4,524288,4,2000,4.14,482.75,0,ok
16,131072,2,2000,2.29,874.81,0,ok
16,131072,4,2000,1.94,1030.4,0,ok
16,524288,2,2000,2.32,862.26,0,ok
16,524288,4,2000,1.84,1085.8,0,ok
64,131072,2,2000,1.55,1294.43,0,ok
64,131072,4,2000,1.4,1426.99,0,ok
64,524288,2,2000,1.61,1242.76,0,ok
64,524288,4,2000,1.31,1526.16,0,ok
64,524288,4,200000,192.68,1038.00,62292,ok
